sample_id,F_wind_kN,w_snow_kNm,E_Pa
0,2.460390508187036,2.1809662226358473,199999999999.99985
1,2.783699812989243,1.796393040382047,199999999999.99985
2,2.783699812989243,2.1809662226358473,194262772683.7777
3,2.783699812989243,2.1809662226358473,199999999999.99985
4,2.783699812989243,2.1809662226358473,206277632535.01495
5,2.783699812989243,3.01870282805323,199999999999.99985
6,3.265222874339875,1.5822799655835562,199999999999.99985
7,3.265222874339875,1.796393040382047,194262772683.7777
8,3.265222874339875,1.796393040382047,199999999999.99985
9,3.265222874339875,1.796393040382047,206277632535.01495
10,3.265222874339875,2.1809662226358473,190212563170.9118
11,3.265222874339875,2.1809662226358473,194262772683.7777
12,3.265222874339875,2.1809662226358473,199999999999.99985
13,3.265222874339875,2.1809662226358473,200360324194.48737
14,3.265222874339875,2.1809662226358473,206277632535.01495
15,3.265222874339875,2.1809662226358473,211049464042.2317
16,3.265222874339875,2.4864102410273126,199999999999.99985
17,3.265222874339875,3.01870282805323,194262772683.7777
18,3.265222874339875,3.01870282805323,199999999999.99985
19,3.265222874339875,3.01870282805323,206277632535.01495
20,3.265222874339875,3.9071694144881923,199999999999.99985
21,4.485135408445954,2.1809662226358473,199999999999.99985
22,5.2921850696901584,1.796393040382047,199999999999.99985
23,5.2921850696901584,2.1809662226358473,194262772683.7777
24,5.2921850696901584,2.1809662226358473,199999999999.99985
25,5.2921850696901584,2.1809662226358473,206277632535.01495
26,5.2921850696901584,3.01870282805323,199999999999.99985
27,6.807925690731736,1.5822799655835562,199999999999.99985
28,6.807925690731736,1.796393040382047,194262772683.7777
29,6.807925690731736,1.796393040382047,199999999999.99985
30,6.807925690731736,1.796393040382047,206277632535.01495
31,6.807925690731736,2.1809662226358473,190212563170.9118
32,6.807925690731736,2.1809662226358473,194262772683.7777
33,6.807925690731736,2.1809662226358473,199999999999.99985
34,6.807925690731736,2.1809662226358473,200360324194.48737
35,6.807925690731736,2.1809662226358473,206277632535.01495
36,6.807925690731736,2.1809662226358473,211049464042.2317
37,6.807925690731736,2.4864102410273126,199999999999.99985
38,6.807925690731736,3.01870282805323,194262772683.7777
39,6.807925690731736,3.01870282805323,199999999999.99985
40,6.807925690731736,3.01870282805323,206277632535.01495
41,6.807925690731736,3.9071694144881923,199999999999.99985
42,7.776572411276047,2.1809662226358473,199999999999.99985
43,9.99746202874505,1.796393040382047,199999999999.99985
44,9.99746202874505,2.1809662226358473,194262772683.7777
45,9.99746202874505,2.1809662226358473,199999999999.99985
46,9.99746202874505,2.1809662226358473,206277632535.01495
47,9.99746202874505,3.01870282805323,199999999999.99985
48,13.547987036862363,2.1809662226358473,199999999999.99985
49,16.366999999999997,1.4389038302920873,199999999999.99985
50,16.366999999999997,1.5822799655835562,194262772683.7777
51,16.366999999999997,1.5822799655835562,199999999999.99985
52,16.366999999999997,1.5822799655835562,206277632535.01495
53,16.366999999999997,1.796393040382047,190212563170.9118
54,16.366999999999997,1.796393040382047,194262772683.7777
55,16.366999999999997,1.796393040382047,199999999999.99985
56,16.366999999999997,1.796393040382047,200360324194.48737
57,16.366999999999997,1.796393040382047,206277632535.01495
58,16.366999999999997,1.796393040382047,211049464042.2317
59,16.366999999999997,2.1809662226358473,186972453705.12103
60,16.366999999999997,2.1809662226358473,190212563170.9118
61,16.366999999999997,2.1809662226358473,194262772683.7777
62,16.366999999999997,2.1809662226358473,196124750508.6023
63,16.366999999999997,2.1809662226358473,200360324194.48737
64,16.366999999999997,2.1809662226358473,205056139762.5064
65,16.366999999999997,2.1809662226358473,206277632535.01495
66,16.366999999999997,2.1809662226358473,211049464042.2317
67,16.366999999999997,2.1809662226358473,215093632533.72726
68,16.366999999999997,2.185161087427075,199999999999.99985
69,16.366999999999997,2.4864102410273126,194262772683.7777
70,16.366999999999997,2.4864102410273126,199999999999.99985
71,16.366999999999997,2.4864102410273126,206277632535.01495
72,16.366999999999997,3.01870282805323,190212563170.9118
73,16.366999999999997,3.01870282805323,194262772683.7777
74,16.366999999999997,3.01870282805323,199999999999.99985
75,16.366999999999997,3.01870282805323,200360324194.48737
76,16.366999999999997,3.01870282805323,206277632535.01495
77,16.366999999999997,3.01870282805323,211049464042.2317
78,16.366999999999997,3.2254176635732805,199999999999.99985
79,16.366999999999997,3.9071694144881923,194262772683.7777
80,16.366999999999997,3.9071694144881923,199999999999.99985
81,16.366999999999997,3.9071694144881923,206277632535.01495
82,16.366999999999997,4.898212806695761,199999999999.99985
