sample_id,F_wind_kN,w_snow_kNm,E_Pa,max_disp_x,min_disp_x,max_disp_y,min_disp_y,max_force_x,max_force_y,max_moment_z,min_moment_z
0,2.116954908936986,2.18637,199998000000.0,0.0032161346345555,-0.0020070860395288,0.0,-0.025478737306962,8769.6515707274,13235.809892982,19082.552010605,-18034.541080726
1,2.502066138878285,1.7411028272418747,199998000000.0,0.0028674095046874,-0.0013371300913604,0.0,-0.020266550636251,7164.2286720411,10584.186674931,15367.568725502,-14128.905976064
2,2.502066138878285,2.18637,194175330593.81076,0.0034561909873804,-0.0019403499850703,0.0,-0.026231547701059,8854.8781010475,13256.586674954,19163.441779693,-17924.779030263
3,2.502066138878285,2.18637,199998000000.0,0.0033555681648371,-0.0018838590408606,0.0,-0.025467847900019,8854.8781010535,13256.586675003,19163.441779674,-17924.779030218
4,2.502066138878285,2.18637,206180669406.1892,0.0032549454038663,-0.0018273681312304,0.0,-0.024704148566309,8854.8781010364,13256.586674984,19163.441779666,-17924.77903022
5,2.502066138878285,2.9376371727581247,199998000000.0,0.0042352403361732,-0.002806244215891,0.0,-0.034242944863346,11707.168931603,17765.186674951,25567.450630166,-24328.787880721
6,3.088845926838776,1.477991331322408,199998000000.0,0.002803817039877,-0.0008263292389604,0.0,-0.017176747379251,6295.1619853755,9036.8446834579,13248.012832249,-11718.849997886
7,3.088845926838776,1.7411028272418747,194175330593.81076,0.003184974543915,-0.0011838324382383,0.0,-0.020857190100098,7294.0900831473,10615.844683465,15490.822124507,-13961.659290151
8,3.088845926838776,1.7411028272418747,199998000000.0,0.0030922478602549,-0.0011493665878855,0.0,-0.020249958223736,7294.0900831308,10615.844683481,15490.822124471,-13961.659290107
9,3.088845926838776,1.7411028272418747,206180669406.1892,0.0029995212333551,-0.0011149007586332,0.0,-0.019642726719075,7294.0900831562,10615.844683465,15490.822124509,-13961.659290177
10,3.088845926838776,2.18637,190016925491.20328,0.0037684760843266,-0.0017851870822361,0.0,-0.026788144607072,8984.7395121575,13288.244683705,19286.695178641,-17757.53234426
11,3.088845926838776,2.18637,194175330593.81076,0.0036877715305136,-0.001746956050989,0.0,-0.026214457734829,8984.7395121404,13288.244683442,19286.695178662,-17757.532344303
12,3.088845926838776,2.18637,199998000000.0,0.0035804065204036,-0.0016960955373946,0.0,-0.02545125548752,8984.7395121433,13288.2446834,19286.69517866,-17757.532344282
13,3.088845926838776,2.18637,200237984022.20828,0.0035761151393226,-0.0016940626418946,0.0,-0.025420750282128,8984.7395121879,13288.244683546,19286.695178654,-17757.532344284
14,3.088845926838776,2.18637,206180669406.1892,0.0034730415759991,-0.0016452350549177,0.0,-0.024688053707234,8984.7395121245,13288.24468341,19286.695178652,-17757.532344294
15,3.088845926838776,2.18637,210819090486.5884,0.0033966284044953,-0.0016090369197584,0.0,-0.024144872049148,8984.7395121694,13288.244683545,19286.695178679,-17757.532344387
16,3.088845926838776,2.389416099189124,199998000000.0,0.0038029677056803,-0.0019453600756742,0.0,-0.027822629752724,9755.5400151516,14506.644683373,21017.308757911,-19488.145923597
17,3.088845926838776,2.9376371727581247,194175330593.81076,0.0045360391902497,-0.0026970006253133,0.0,-0.035252691961776,11837.030342739,17796.844683754,25690.704029141,-24161.541194859
18,3.088845926838776,2.9376371727581247,199998000000.0,0.004403977892646,-0.002618480712425,0.0,-0.034226352450903,11837.030342774,17796.844683362,25690.704029136,-24161.541194841
19,3.088845926838776,2.9376371727581247,206180669406.1892,0.0042719166758721,-0.0025399608475592,0.0,-0.033200013568054,11837.030342785,17796.844683767,25690.704029158,-24161.541194794
20,3.088845926838776,3.609702569488468,199998000000.0,0.0052078643133709,-0.003443729640916,0.0,-0.042077344839238,14388.94684741,21830.644683762,31420.307653576,-29891.14481922
21,4.071503784262949,2.18637,199998000000.0,0.0039569204511371,-0.0013816663808858,0.0,-0.025423468933104,9202.2050843541,13341.258994969,19493.09479301,-17477.460844961
22,4.161,1.29511922567299,199998000000.0,0.0030141265726924,-0.0002844181012593,0.0,-0.015010168565268,5838.0545169776,7997.0870981491,11914.18036574,-9854.2413842059
23,4.161,1.477991331322408,194175330593.81076,0.0033110178963019,-0.0004977546295388,0.0,-0.017660596258193,6532.4329083921,9094.6870981476,13473.209801515,-11413.270820048
24,4.161,1.477991331322408,199998000000.0,0.0032146216128869,-0.0004832631051669,0.0,-0.017146429347351,6532.4329084291,9094.6870981653,13473.209801547,-11413.270819991
25,4.161,1.477991331322408,206180669406.1892,0.0031182253883864,-0.0004687715897114,0.0,-0.016632262751151,6532.4329084333,9094.6870982493,13473.209801565,-11413.270820001
26,4.161,1.7411028272418747,190016925491.20328,0.0036870587855582,-0.0008486533472406,0.0,-0.021281725989075,7531.3610061815,10673.687098245,15716.019093792,-13656.080112228
27,4.161,1.7411028272418747,194175330593.81076,0.0036080978401924,-0.0008304788416254,0.0,-0.020825962926719,7531.3610061659,10673.687098114,15716.019093774,-13656.080112191
28,4.161,1.7411028272418747,199998000000.0,0.0035030524333878,-0.0008063004540451,0.0,-0.020219640192147,7531.3610062941,10673.687098246,15716.019093994,-13656.080112361
29,4.161,1.7411028272418747,200237984022.20828,0.0034988537667669,-0.000805334043576,0.0,-0.020195405462973,7531.3610061759,10673.687098155,15716.019093795,-13656.080112235
