sample_id,F_wind_kN,w_snow_kNm,E_Pa,max_disp_x,min_disp_x,max_disp_y,min_disp_y,max_force_x,max_force_y,max_moment_z,min_moment_z
0,4.049690188283043,1.93356024041588,201341221403.9657,0.0036468907743736,-0.0010710191576823,0.0,-0.022320859855293,8237.4197322024,11822.682244609,17333.200425328,-15328.365979523
1,4.120996675626039,1.961131847531584,205233856122.89636,0.0036338252653842,-0.001061482108904,0.0,-0.022209615768803,8357.965856122,11992.12953221,17583.397191282,-15543.257867985
2,5.527003960833317,2.4741883891264504,198773696499.6352,0.0048598278271324,-0.0012771418677424,0.0,-0.028921011867714,10616.978627693,15146.979081539,22252.107181978,-19515.960365104
3,5.980761158363191,2.222476894951629,191828194094.29523,0.0049294562808143,-0.0008497204759093,0.0,-0.026889462451732,9761.790920354,13660.870909902,20201.807888005,-17240.910789534
4,5.8474391297263,1.5193022333893214,195621150967.3634,0.0039934169206611,-0.0001604771702384,0.0,-0.017974400353831,7062.3942067369,9433.4661708209,14179.390244195,-11284.616535674
5,4.3693409111144295,1.7392120953306278,198786716868.4432,0.0036026077156288,-0.0007418051092162,0.0,-0.020314599631935,7570.2502928086,10673.5259197,15743.582185952,-13580.51498923
6,5.027848008009946,1.6832845554875226,205655403216.1752,0.0036680486389619,-0.0004453410348013,0.0,-0.018982791843555,7503.6741067712,10373.453779823,15405.216240124,-12916.138442046
7,2.3778317824139763,2.5765180836458645,204103431835.44043,0.0036850253994825,-0.0023542906325129,0.0,-0.029424428477819,10308.634883396,15591.284625301,22463.070403391,-21285.904149184
8,4.7755178205855895,1.7483430418139827,193313730104.3928,0.0038759413798873,-0.0006399700863611,0.0,-0.020988203527791,7694.7908806044,10750.235466508,15906.719540882,-13542.608875682
9,5.311825474851196,2.5715640178443797,197562712383.13333,0.004914241461606,-0.001475684063016,0.0,-0.030255884364844,10939.082003372,15719.772954135,23037.002639096,-20407.353097479
10,6.299100191982628,2.311828745167985,189034498425.22763,0.0052349239449352,-0.0008706212367458,0.0,-0.028381474513309,10171.426915622,14214.238039016,21030.26113154,-17911.840741691
11,3.1620510263183847,2.4188293807140835,199170945207.7856,0.0038793187031432,-0.0019661962838737,0.0,-0.028281234131292,9883.4633714839,14687.193937114,21283.52688964,-19718.12351799
12,4.7289184955829535,2.146967555304988,194196178601.09525,0.0042900888203579,-0.001156415348979,0.0,-0.025689617659431,9198.0355154375,13140.13201617,19295.135221376,-16953.991060352
13,2.116283638643253,3.3531595069218225,205817533252.33337,0.0045171086176336,-0.0033426061163612,0.0,-0.038001770881764,13199.459092508,20238.174475974,29028.613270599,-27980.924508264
14,4.615190805752006,2.8026385046016844,198275345018.8011,0.0048828745950914,-0.0019813957039907,0.0,-0.032889595909035,11662.25733447,17068.991208158,24860.495180683,-22575.703101796
15,3.678370551817842,2.578788391790457,190726659914.47763,0.0044424093859951,-0.0020859488080011,0.0,-0.031477318674209,10605.057501979,15675.050071359,22755.561135339,-20934.544422099
16,6.823257402501291,2.709408457313635,194938907761.57465,0.0057296339520062,-0.0011730011767597,0.0,-0.032271428102465,11797.030499303,16628.720031064,24529.726177217,-21151.781866533
17,4.7511860359579625,2.747615355495051,196669519302.12585,0.0049143668035668,-0.0018846503776208,0.0,-0.032500686363206,11483.442055535,16746.124475429,24420.029604075,-22067.948850172
18,2.975912798872478,1.815450700784422,192003197073.6756,0.0032608253723031,-0.001329957597552,0.0,-0.022001071666584,7551.3747648276,11055.951002404,16100.879563522,-14627.63354005
19,3.865655257834391,1.9276163211791637,198509395654.10367,0.0036213136890694,-0.0011382935053602,0.0,-0.022574709145779,8174.1669126492,11777.15270059,17243.975770924,-15330.256765881
20,4.63979915244899,2.407947364825208,199078631680.37247,0.0044379829126057,-0.0014785999685009,0.0,-0.02812448576043,10169.142689838,14701.523620459,21501.043417312,-19204.019212715
21,5.8920743984988,2.117471166309864,198737865660.9176,0.004607899940762,-0.0007191004822129,0.0,-0.024722776262468,9343.4071301264,13025.869654621,19287.978425668,-16371.149879311
22,3.7700147569846703,2.270986273542144,194005768848.32587,0.0040556689723958,-0.0016308910784429,0.0,-0.027236363020678,9456.7330406725,13832.792993427,20151.045120736,-18284.671185657
