sample_id,F_wind_kN,w_snow_kNm,E_Pa,max_disp_x,min_disp_x,max_disp_y,min_disp_y,max_force_x,max_force_y,max_moment_z,min_moment_z
0,7.557353495161494,2.1809662226358477,199999999999.99985,0.0052865365541859,-0.0003783266760324,0.0,-0.025261203703509,9953.0068321361,13496.719675422,20178.961717572,-16437.648962713
1,8.55099075858694,1.796393040382047,199999999999.99985,0.0052456499621266,0.0,0.0,-0.020741088934839,8712.7770381834,11242.324647076,17109.380897684,-12876.178428488
2,8.55099075858694,2.1809662226358477,194262772683.7777,0.0058346123267192,-0.0002024161926117,0.0,-0.025978323031043,10172.894865689,13550.32464688,20387.660724429,-16154.458255256
3,8.55099075858694,2.1809662226358477,199999999999.99985,0.0056672406375263,-0.0001966096817074,0.0,-0.025233108856607,10172.894865663,13550.324646817,20387.66072446,-16154.458255268
4,8.55099075858694,2.1809662226358477,206277632535.01492,0.0054947707725724,-0.00019062630332,0.0,-0.024465195306809,10172.894865825,13550.324647235,20387.660724838,-16154.458255583
5,8.55099075858694,3.01870282805323,199999999999.99985,0.0065856434095169,-0.0009702773450449,0.0,-0.035018627712532,13353.648944068,18578.124647082,27529.14049609,-23295.938026894
6,10.030871633804544,1.5822799655835562,199999999999.99985,0.0055779667297066,0.0,0.0,-0.018198258743188,8227.3547281576,10037.165150505,15595.01250784,-10732.522622147
7,10.030871633804544,1.796393040382047,194262772683.7777,0.0059843584816468,0.0,0.0,-0.021310546138376,9040.2886139042,11322.165150374,17420.2246298,-12454.373125959
8,10.030871633804544,1.796393040382047,199999999999.99985,0.0058126911742046,0.0,0.0,-0.020699231811742,9040.2886139668,11322.16515029,17420.224629674,-12454.373125911
9,10.030871633804544,1.796393040382047,206277632535.01492,0.0056357948455931,0.0,0.0,-0.020069296726233,9040.2886139044,11322.165150363,17420.224629812,-12454.373126007
10,10.030871633804544,2.1809662226358477,190212563170.9118,0.0065550671717902,-3.26957318102e-06,0.0,-0.026487469004276,10500.406441399,13630.165150372,20698.504456563,-15732.652952765
11,10.030871633804544,2.1809662226358477,194262772683.7777,0.0064184000740318,-3.2014056015829e-06,0.0,-0.02593522973376,10500.406441527,13630.165150451,20698.504456655,-15732.652952744
12,10.030871633804544,2.1809662226358477,199999999999.99985,0.0062342818496038,-3.1095700784759e-06,0.0,-0.025191251733605,10500.406441391,13630.165150407,20698.504456556,-15732.652952763
13,10.030871633804544,2.1809662226358477,200360324194.48737,0.0062230709872423,-3.1039782595783e-06,0.0,-0.025145951302354,10500.406441382,13630.165150449,20698.504456565,-15732.652952754
14,10.030871633804544,2.1809662226358477,206277632535.01492,0.0060445553463915,-3.0149372286009e-06,0.0,-0.024424612011784,10500.406441368,13630.165150386,20698.504456559,-15732.652952764
15,10.030871633804544,2.1809662226358477,211049464042.2317,0.0059078859221263,-2.9467684867558e-06,0.0,-0.023872363340009,10500.406441409,13630.165150381,20698.504456581,-15732.652952777
16,10.030871633804544,2.486410241027313,199999999999.99985,0.0065691432127438,-0.0001725082539324,0.0,-0.028759176531949,11660.14994283,15463.365150341,23302.379057234,-18336.527553445
